page,bloc_id,intitule_item,item_id,facette_id,intitule_facette,attractivite,charge_mentale,forme_negative,reversed,ordre_item_page
1,b35,Je suis vif dans mes actions,E4.2,E4,Dynamisme,2.711805556,0,0,,item 1 page 1
1,b35,J'aime me confronter à d'autres systèmes de pensée,O6.2,O6,Croyances,2.645833333,0,0,,item 2 page 1
1,b35,J'aime me plonger dans mon imagination,O1.6,O1,Imagination,2.878472222,0,0,,item 3 page 1
2,b47,J'ai de la facilité à établir des liens affectifs forts,E1.0,E1,Chaleur,2.392361111,0,0,,item 1 page 2
2,b47,J'aime le changement,O4.6,O4,Exploration,2.361111111,0,0,,item 2 page 2
2,b47,J'ai une énergie débordante,E4.4,E4,Dynamisme,2.40625,0,0,,item 3 page 2
3,b31,"Lors d'un désaccord, je fais tout pour préserver la bonne entente ",A4.5,A4,Coopération,2.701388889,0,0,,item 1 page 3
3,b31,Je suis de nature optimiste,E6.2,E6,Joie,2.520833333,0,0,,item 2 page 3
3,b31,Je suis toujours attentionné envers les autres,A3.1,A3,Dévouement,2.868055556,0,0,,item 3 page 3
4,b25,Je suis capable de me priver d'un plaisir pour mieux en profiter plus tard,N5.1,N5,Impulsivité,2.541666667,1,0,R,item 1 page 4
4,b25,J'aime que l'on reconnaisse ouvertement mes qualités,A5.0,A5,Réserve,2.767361111,0,0,R,item 2 page 4
4,b25,J'ai l'habitude de passer rapidement à l'action,C6.2,C6,Anticipation,2.458333333,0,0,R,item 3 page 4
5,b15,Je sais très bien contrôler mes envies,N5.6,N5,Impulsivité,2.138888889,0,0,R,item 1 page 5
5,b15,J'aime improviser mes tâches au jour le jour,C2.1,C2,Organisation,2.184027778,0,0,R,item 2 page 5
5,b15,Je suis toujours de bonne humeur,E6.1,E6,Joie,2.211805556,0,0,,item 3 page 5
6,b69,J'aime discuter avec des personnes aux idées opposées aux miennes,O5.2,O5,Idées,2.420138889,0,0,,item 1 page 6
6,b69,Je remet parfois en question mes croyances,O6.3,O6,Croyances,2.097222222,0,0,,item 2 page 6
6,b69,Je privilégie les sorties dans les endroits que je connais bien,O4.5,O4,Exploration,2.357638889,0,0,R,item 3 page 6
7,b5,Je ne suis pas gêné facilement,N4.0,N4,Timidité,1.684027778,0,1,R,item 1 page 7
7,b5,"Lorsque je prévois mon temps libre, j'opte généralement pour une activité de groupe",E2.6,E2,Sociabilité,1.868055556,1,0,,item 2 page 7
7,b5,Je me mets rarement en colère,N2.0,N2,Colère,2.090277778,0,0,R,item 3 page 7
8,b7,Je suis calme sous la pression,N6.3,N6,Vulnérabilité au stress,2.246527778,0,0,R,item 1 page 8
8,b7,Je suis rarement irrité,N2.3,N2,Colère,1.836805556,0,0,R,item 2 page 8
8,b7,J'aide fréquemment les gens dans le besoin,A6.1,A6,Compassion,2.506944444,0,0,,item 3 page 8
9,b14,L'art est pour moi une part essentielle de la culture,O2.0,O2,Esthétique,2.723147173,0,0,,item 1 page 9
9,b14,Je ris beaucoup,E6.5,E6,Joie,2.815972222,0,0,,item 2 page 9
9,b14,Je peux paraître froid au premier abord,E1.6,E1,Chaleur,2.642361111,0,0,R,item 3 page 9
10,b27,J'aime les idées originales,O5.1,O5,Idées,2.71875,0,0,,item 1 page 10
10,b27,Je préfère mettre les autres en valeur plutôt que moi-même,A5.5,A5,Réserve,2.559027778,0,0,,item 2 page 10
