trait_id,intitulé_trait,trait_description,élevé_description,élevé_potentialité_1,élevé_question_potentialité_1,élevé_potentialité_2,élevé_risque_1,élevé_question_risque_1,élevé_risque_2,bas_description,bas_potentialité_1,bas_question_potentialité_1,bas_potentialité_2,bas_risque_1,bas_question_risque_1,bas_risque_2,trait_gender
A1,Confiance en l'autre,la tendance à attribuer aux autres des intentions bienveillantes que l’on oppose à la suspicion que les autres sont malhonnêtes ou dangereux.,{{first_name}} accorde facilement sa confiance aux autres et part du principe que l’autre est bien intentionné. L’autre est vu comme une personne principalement franche et honnête.,Il est très naturel pour {{first_name}} de se fier à autrui ce qui facilite la collaboration avec les personnes poursuivant les mêmes intérêts,Pourriez-vous nous parler d'un moment où faire confiance à un collègue a vraiment changé le jeu pour un projet sur lequel vous travailliez ?,{{first_name}} est perçu comme quelqu'un d'ouvert et agréable,"{{first_name}} peut se fier aux autres trop facilement, se faire manipuler et faire preuve de naïveté","Pouvez-vous me donner un exemple d'une situation où vous avez fait confiance à un collègue ou à une équipe, et cela s'est avéré être une erreur ? Comment avez-vous géré cette situation ?",Croire toujours les autres peut lui faire prendre des décisions risquées,"{{first_name}} est une personne méfiante, il lui faut du temps pour accorder sa confiance. L’autre représente pour {{pronom_reflechi}} une source potentielle de danger.",{{first_name}} ne se laisse pas duper par les personnes pouvant abuser de sa confiance,"Pouvez-vous me décrire une expérience professionnelle où vous avez eu des doutes sur la fiabilité ou l'honnêteté d'un collègue ou d'un partenaire, et comment vous avez abordé cette situation ?",{{pronom_majuscule}} vérifie ce que les autres affirment et reste vigilant afin d’éviter les tromperies,"{{first_name}} adopte une attitude méfiante y compris envers les personnes qui agissent dans ses intérêts, ce qui peut nuire à certaines collaborations","Êtes-vous capable de faire facilement confiance à vos collaborateurs dans un contexte professionnel ? Si oui, pouvez-vous me décrire une expérience spécifique qui illustre cette capacité ?",{{pronom_majuscule}} peut être perçu comme quelqu'un de suspiceux et peu agréable,f
A2,Franc-parler,la tendance à adopter une attitude directe et franche dans les échanges avec les autres.,"{{first_name}} adopte une attitude très transparente, spontanée et franche dans la façon qu’{{pronom_minuscule}} a de dialoguer avec autrui.",{{first_name}} s'exprime ouvertement,Pourriez-vous décrire une situation où votre franchise a changé le cours d'un projet ou d'une réunion importante au travail ?,{{pronom_majuscule}} ne dissimule généralement pas sa pensée ; {{pronom_majuscule}} est facile de savoir ce qu'{{pronom_majuscule}} pense/de connaître son avis,{{pronom_majuscule}} peut avoir du mal à adapter son discours à la situation ou à l’interlocuteur,"Pouvez-vous me donner un exemple concret d'une situation où vous avez dû adapter votre manière de communiquer en fonction de votre interlocuteur ou du contexte professionnel, et comment avez-vous géré cela ?",{{first_name}} peut manquer de tact,{{first_name}} réfléchit aux conséquences de ses propos avant de s'exprimer. Il s'agit d'une personne qui prend en compte le contexte et adapte son discours à son interlocuteur ainsi qu'à la situation.,"{{first_name}} pèse ses mots, adapte son discours plutôt que de brusquer ses interlocuteurs",Pouvez-vous me raconter une situation où vous avez dû adapter votre communication pour éviter de heurter ou de brusquer un collègue ou un client ?Comment cela a-t-il influencé l'issue de cette situation ?,Il s'agit d'une personne qui a beaucoup de tact,Il est difficile de savoir ce que {{first_name}} pense réellement ; il peut être intéressant de le questionner précisément pour connaitre le fond de sa pensée,Pourriez-vous me raconter une situation professionnelle où il vous a été nécessaire d'exprimer une critique ou un désaccord envers quelqu'un ?,{{pronom_majuscule}} peut manquer de spontanéité et de transparence dans ses échanges avec d'autres personnes,m
A3,Dévouement,la tendance à avoir le sens du sacrifice et à se soucier des autres.,{{first_name}} est intéressé par le bien-être de son entourage ; {{pronom_minuscule}} essaie de subvenir aux besoins de chacun au sein d’un groupe.,{{first_name}} aide spontanément les autres,"Pourriez-vous me raconter un moment où, sans y être invité, vous avez pris l'initiative d'aider un collègue ou résoudre un problème au travail, et ce que cela a changé dans le déroulement des événements ?",{{first_name}} est intéressé par le bien-être de son entourage ; {{pronom_minuscule}} essaie de subvenir aux besoins de chacun au sein d’un groupe.,{{first_name}} peut se laisser affecter par les problèmes des autres,"Vous est-il déjà arrivé dans votre parcours professionnel de vous retrouver affecté(e) dans votre travail ou dans vos décisions à cause des problèmes personnels ou émotionnels d'un collègue ? Si oui, pourriez-vous partager un exemple spécifique ?",{{pronom_majuscule}}  a tendance à se sacrifier pour autrui plutôt que défendre ses intérêts,{{first_name}} est une personne qui se préoccupe avant tout de ses intérêts personnels.,{{first_name}} ne se laisse pas affecter par les problèmes des autres,"Dans votre expérience professionnelle, avez-vous déjà été dans une situation où les problèmes personnels d'un collègue affectaient particulièrement l'équipe ? Comment avez-vous géré votre implication et votre performance dans ce contexte ?",Il s'agit d'une personne qui garde en vue ses propres intérêts et objectifs ce qui lui confère une forme d'efficacité,{{first_name}} n'aide pas spontanément et peut être perçu comme une personne détachée des problèmes d'autrui,"Pouvez-vous me donner un exemple spécifique d'une situation au travail où vous avez pris l'initiative d'aider un collègue, sans y être obligé par vos responsabilités ou par une demande directe ?",{{pronom_majuscule}} peut adopter une attitude individualiste lorsque les intérêts des autres entrent en contradiction avec les siens.,m
A4,Coopération,la tendance à coopérer afin d’éviter le conflit.,{{first_name}} est une personne coopérative qui s'efface en cas de conflit au profit de la majorité.,{{first_name}} pardonne et oublie facilement les dissensions apparues en situation conflictuelle,Pouvez-vous me décrire une expérience professionnelle où vous avez dû pardonner et oublier un différend pour maintenir une collaboration productive ?,Il met de côté son opinion au profit du groupe,{{first_name}} a tendance à fuir les conflits au point de ne pas exprimer son opinion,"Pouvez-vous me donner un exemple d'une situation où vous avez dû exprimer une opinion différente ou impopulaire au travail, et comment vous avez géré les réactions de vos collègues ?",Il peut s'agir d'une personne ayant du mal à exprimer son mécontentement,{{first_name}} est une personne combative qui n'hésite pas à s’exprimer pour défendre ses intérêts.,{{first_name}} ne se laisse pas déstabiliser par une situation de conflit et peut facilement exprimer son avis et son désaccord,Pouvez-vous me décrire une situation spécifique où vous avez dû exprimer clairement votre désaccord lors d'un conflit professionnel ?,C'est une personne que la compétition stimule,"Lorsque des différents apparaissent, {{first_name}} est plutôt agressif et prend plus en compte ses intérêts et son avis que ceux des autres","Pouvez-vous me raconter une expérience professionnelle où vous étiez en désaccord avec un ou plusieurs collègues, et êtes parvenu à trouver un compromis entre vos intérêts et ceux des autres parties impliquées ?","Quand {{pronom_minuscule}} collabore avec des personnes qui évitent le conflit, ces dernières auront des difficultés à se faire entendre",f
A5,Réserve,la tendance à adopter une attitude humble dans la façon de se présenter aux autres.,{{first_name}} a une attitude modeste et parle peu de ses succès.,{{first_name}} apparaît comme une personne humble et discrète au sujet de ses réussites,Pouvez-vous me décrire une situation professionnelle où vous avez joué un rôle clé dans le succès d'un projet sans en rechercher la reconnaissance publique ?,{{pronom_majuscule}} ne s'attribue pas des mérites qui ne sont pas les siens,Les réussites de {{first_name}} peuvent passer inaperçues,"Pouvez-vous me raconter une situation où vos réussites au travail sont passées inaperçues ou n'ont pas été reconnues à leur juste valeur, et comment vous avez géré cette situation ?",Il s'agit d'une personne pouvant facilement se faire voler la vedette,{{first_name}} se comporte comme une personne ayant une très bonne image {{complement_nom}}-même et n'hésite généralement pas à se valoriser en public.,{{first_name}} sait se mettre en valeur et se présenter de manière avantageuse auprès de ses interlocuteurs,Pourriez-vous me décrire une occasion où votre capacité à vous mettre en valeur a directement contribué au succès d'un projet ou à la résolution d'un problème en milieu professionnel ?,Il est facile pour {{first_name}} de parler de ses réussites et de les mettre en avant,{{first_name}} peut paraître prétentieux ou orgueilleux,Pouvez-vous me donner un exemple où vous avez dû reconnaître et accepter une erreur ou un échec dans votre vie professionnelle ?,{{pronom_majuscule}} a tendance à dissimuler ses défauts et n’aime pas être critiqué en public,f
A6,Compassion,"la tendance à être guidé par des sentiments, en particulier ceux d’empathie, dans la formulation de jugements et d'attitudes.",{{first_name}} est facilement ému par les sentiments d'autrui et éprouve aisément de l'empathie et de la compassion.,{{first_name}} est capable de se mettre à la place de son interlocuteur et de le comprendre émotionnellement,"Pourriez-vous me raconter un moment où, en milieu professionnel, vous avez ressenti une forte connexion émotionnelle avec les difficultés ou les préoccupations d'un autre, et comment cela a-t-il modifié votre approche ou solution dans cette situation ?",Il s'agit d'une personne pouvant soutenir psychologiquement ses collègues,Il est possible que {{first_name}} prenne trop à coeur la détresse émotionnelle d'une tierce personne,"Pourriez-vous me parler d'une situation où vous avez dû soutenir un collègue ou un client en détresse émotionnelle, et me décrire comment cela a impacté votre travail ?",{{pronom_majuscule}} se laisse facilement manipuler par des stratégies faisant appel à la pitité,{{first_name}} éprouve peu d'empathie et estime que tout le monde devrait être capable de se débrouiller seul.,{{first_name}} fonde ses jugements des autres sur une approche rationnelle et factuelle,"Avez-vous déjà travaillé avec un(e) collègue particulièrement inefficace, du fait d'une détresse émotionnelle ? Si oui, comment avez-vous géré votre compassion envers cette personne et votre efficacité personnelle ?",Il n’est pas facile de manipuler {{first_name}} en faisant appel à des sentiments tels que la pitié,{{first_name}} a du mal à se mettre à la place des autres ce qui peut générer de l’incompréhension chez ses interlocuteurs,Pouvez-vous me donner un exemple concret où vous avez dû adapter votre approche ou votre communication en fonction de la perspective ou des besoins spécifiques d'un collègue ou d'un client ?,Il est difficile pour {{first_name}} de soutenir une personne en détresse émotionnelle,f
C1,Assurance,"le sentiment d'être capable, raisonnable et accompli.",{{first_name}} estime être très compétent dans son domaine d’expertise. {{pronom_majuscule}} est généralement convaincu d’être capable de relever les défis qui lui sont proposés.,{{first_name}} n'a pas besoin d'encouragements pour avoir confiance en sa capacité à réaliser une tâche,"Pourriez-vous me donner un exemple concret d'une situation professionnelle où vous avez dû entreprendre ou poursuivre une tâche difficile sans recevoir de soutien ou d'encouragements extérieurs, et comment vous avez géré cette situation ?",{{pronom_majuscule}} aborde les défis professionnels avec assurance,{{first_name}} peut avoir des difficultés à cerner les limites de ses propres compétences,"Comment réagissez-vous lorsque quelqu'un, comme un collègue ou un superviseur, vous fait remarquer une erreur ou une lacune dans votre travail ? Pouvez-vous partager un exemple spécifique ?",{{pronom_majuscule}} a tendance à se penser compétent même lorsque ce n'est pas le cas,{{first_name}} estime la plupart du temps ne pas être une personne compétente.,{{first_name}} n'est pas enclin à surestimer ses capacités,"Pouvez-vous me donner un exemple concret où vous avez reconnu et admis une limite dans vos compétences professionnelles ? Si oui, comment cela a-t-il impacté votre travail ou votre approche d'un projet ?",Il est généralement tout à fait capable d'accomplir les tâches qu'{{pronom_minuscule}}aborde avec confiance,"{{first_name}} se sous-estime, ce qui peut le conduire à aborder avec hésitation les tâches",Pourriez-vous partager avec moi un moment dans votre carrière où vous étiez si sûr de vos compétences dans une tâche donnée que cela vous a permis d'agir efficacement et de prendre des décisions sans aucune hésitation ?,{{pronom_majuscule}} a tendance à éviter certaines tâches qui entrent pourtant dans son domaine de compétences,f
C2,Organisation,la tendance à garder son environnement bien rangé et bien organisé.,{{first_name}} est une personne très organisée et ordonnée.,{{first_name}} est capable de s'organiser de manière très efficace,"Pourriez-vous me décrire comment vous avez organisé votre travail lors d'une période particulièrement chargée ou sous pression, en me donnant des exemples concrets de votre approche et de vos méthodes ?",Il s'agit d'une personne évoluant très bien dans un environnement très structuré autant temporellement que dans l'espace,{{first_name}} tolère mal le chaos et les perturbations et peut sembler rigide dans son organisation,"Pouvez-vous me donner un exemple précis d'une situation où vous avez dû faire face à un changement inattendu ou à un désordre important dans votre environnement de travail ? Si oui, comment avez-vous réagi ou géré cette situation ?",Un excès de charge de travail peut se traduire par une organisation outrancière employée pour se rassurer plus que pour atteindre l'efficacité,{{first_name}} est une personne qui estime ne pas avoir besoin d’une organisation rigoureuse.,{{first_name}} fait preuve de flexibilité et s'adapte facilement aux imprévus et changements de programme,"Pouvez-vous me donner un exemple spécifique d'une situation où vous avez dû vous adapter rapidement à un changement inattendu ou à un imprévu dans votre environnement professionnel ? Si oui, comment avez-vous géré cela ?",Il s'agit d'une personne adaptable qui tolère bien le désordre et les imprévus,"{{first_name}} peut avoir des difficultés à s'organiser, en particulier si le nombre de tâches est important",Pouvez-vous me décrire une situation professionnelle où vous avez dû gérer un grand nombre de tâches simultanément ? Comment avez-vous abordé cette organisation ?,{{pronom_majuscule}} n’apprécie pas les emploi du temps trop stricts qui contraignent son mode d’organisation flexible,f
C3,Sens du devoir,la tendance à adhérer aux obligations morales.,"{{first_name}} est une personne assidue, ponctuelle et consciencieuse dans la réalisation de tâches professionnelles mais peut verser dans l’excès de zèle dans le respect des règles et conventions.",{{first_name}} est une personne extrêmement fiable qui a à coeur d'accomplir son devoir,"Pouvez-vous me décrire une situation professionnelle où vous avez fait preuve d'une fiabilité exceptionnelle, en allant au-delà des attentes pour accomplir votre devoir ?",Il s'agit d'une personne particulièrement droite,{{first_name}} peut éprouver des difficultés à tolérer les personnes qu'{{pronom_minuscule}} juge comme manquant de rigueur morale,"Pouvez-vous me raconter une situation professionnelle où vous avez dû collaborer avec quelqu'un dont les principes éthiques ou la rigueur morale vous semblaient discutables ? Si oui, comment avez-vous géré cette collaboration ?",{{pronom_majuscule}} peut refuser catégoriquement de réaliser une tâche allant à l'encontre de ses principes moraux,{{first_name}} est une personne flexible qui adapte ses règles et principes moraux aux besoins et urgences du moment.,{{first_name}} réalise ses choix selon les informations disponibles et non en fonction d'un principe moral fixe,Pourriez-vous partager une expérience où il vous a été nécessaire de sortir du cadre habituel ou de contourner certaines règles établies pour atteindre un objectif spécifique ?,Il s'agit d'une personne qui a conscience de la complexité morale de certaines situations et qui n'adopte pas une posture droite naïve,{{first_name}} a tendance à ne pas se soumettre à l'ensemble des obligations morales,"Avez-vous déjà rencontré une situation professionnelle où une obligation morale vous a contraint à limiter vos actions ou décisions ? Si oui, pourriez-vous partager comment vous avez géré cette situation et ce que vous en avez retenu ?",{{pronom_majuscule}} n'est pas toujours fiable,m
C4,Recherche de réussite,la volonté d’atteindre l'excellence et l’accomplissement.,{{first_name}} cherche résolument la réussite et poursuit avec ambition ses objectifs.,{{first_name}} est une personne qui cherche à se dépasser,"Pouvez-vous me donner un exemple spécifique d'une situation professionnelle où vous avez clairement dépassé vos limites ou vos responsabilités habituelles, et quelles en ont été les conséquences pour vous et votre entreprise ?",{{pronom_majuscule}} est généralement motivé par une charge de trava{{pronom_majuscule}} importante,Il peut être important de modérer le travail demandé à {{first_name}} pour éviter le risque de burn-out,"Avez-vous déjà été dans une situation professionnelle où vous avez senti que vous approchiez d'un burn-out, et si oui, comment l'avez-vous identifié et géré ?",{{first_name}} est très dur avec {{pronom_reflechi}}-même et il est important pour {{pronom_reflechi}} d'apprendre à se satisfaire de petites réalisations,{{first_name}} a des ambitions plutôt modestes et ne cherche pas à tout prix à atteindre l’excellence.,{{first_name}} dispose d’un bon équilibre entre vie privée et professionnelle ; le risque de surmenage est réduit,"Lors d'une période particulièrement chargée au travail, comment gérez vous l'équilibre entre vos responsabilités professionnelles et votre vie personnelle ? Veuillez répondre en racontant une expérience vécue.",{{pronom_majuscule}} peut se satisfaire d’évolutions de carrière lentes,{{first_name}} peut manquer d’acharnement lorsque le niveau d’exigence est élevé,Pouvez-vous me raconter une expérience professionnelle où vous avez dû faire preuve d'acharnement pour répondre à des exigences très élevées ? Quel a été le résultat ?,Il peut avoir du mal à se fixer {{complement_nom}}-même des objectifs ambitieux,f
